zip,zid,latitude,longitude,cost/rent,status,address,bed,bath,area,zestimate,Type:,Laundry:,Heating:,Cooling:,Pets:,Parking:,SaleHistory
75206,26689190,32.810634,-96.764344,"$2,995",House for rent,"6100 Hudson St, Dallas, TX 75206",,,8608,,Miscellaneous,No Data,No Data,Refrigeration,Contact manager,11 spaces,"[{'date': '4/12/2019', 'event': 'Listed for rent', 'price': '$2,995--'}, {'date': '9/15/2017', 'event': 'Sold', 'price': '$490,000(+88.5%)'}, {'date': '7/24/2010', 'event': 'Listing removed', 'price': '$259,900--'}, {'date': '6/6/2010', 'event': 'Price change', 'price': '$259,900(-4.6%)'}, {'date': '5/1/2010', 'event': 'Listed for sale', 'price': '$272,500--'}]"
75206,26690070,32.815126,-96.765503,"$14,995",House for rent,"5907 Prospect Ave, Dallas, TX 75206",4,3,3095,,Single Family,No Data,Forced air,Central,"Cats, small dogs",2 spaces,
75206,122302293,32.832949,-96.775643,"$3,550",House for rent,"3835 Pine Tree Ct, Dallas, TX 75206",3,35,2274,,Single Family,No Data,Forced air,Central,No,2 spaces,
75206,26690191,32.822711,-96.76727,"$2,500",House for rent,"5814 Vickery Blvd, Dallas, TX 75206",2,2,2224,,Single Family,In Unit,Forced air,Central,Contact manager,8 spaces,
75206,26691006,32.82208,-96.781214,"$5,750",House for rent,"5226 Vickery Blvd, Dallas, TX 75206",3,25,3258,5750,Single Family,No Data,Forced air,Central,"Cats, small dogs",2 spaces,"[{'date': '3/20/2019', 'event': 'Listed for rent', 'price': '$5,750--'}, {'date': '2/15/2013', 'event': 'Sold', 'price': '$599,990--'}, {'date': '1/30/2013', 'event': 'Listing removed', 'price': '$599,990--'}, {'date': '1/4/2013', 'event': 'Price change', 'price': '$599,990(-3.2%)'}, {'date': '11/1/2012', 'event': 'Listed for sale', 'price': '$619,990--'}]"
75206,26689323,32.81241,-96.762878,"$1,850",House for rent,"6025 Lewis St, Dallas, TX 75206",2,2,1425,2746,Single Family,In Unit,Forced air,Central,Contact manager,1 space,"[{'date': '3/12/2019', 'event': 'Listed for rent', 'price': '$1,850(+12.1%)'}, {'date': '2/19/2016', 'event': 'Listing removed', 'price': '$1,650--'}, {'date': '2/7/2016', 'event': 'Price change', 'price': '$1,650(-2.9%)'}, {'date': '1/17/2016', 'event': 'Price change', 'price': '$1,700(-2.9%)'}, {'date': '12/14/2015', 'event': 'Price change', 'price': '$1,750(-5.4%)'}]"
75206,2117029926,32.835713,-96.773614,"$2,275",House for rent,"5503 Winton St, Dallas, TX 75206",2,2,1400,3246,Single Family,In Unit,Forced air,Other,Small dogs,2 spaces,"[{'date': '5/1/2019', 'event': 'Price change', 'price': '$2,275(-0.9%)'}, {'date': '2/28/2019', 'event': 'Price change', 'price': '$2,295(+4.6%)'}, {'date': '2/28/2019', 'event': 'Listed for rent', 'price': '$2,195(-3.1%)'}, {'date': '5/2/2018', 'event': 'Listing removed', 'price': '$2,265--'}, {'date': '3/21/2018', 'event': 'Price change', 'price': '$2,265(+13.3%)'}]"
75206,26704171,32.835313,-96.775393,"$3,000",House for rent,"5428 Winton St, Dallas, TX 75206",3,35,2200,3250,Single Family,"In Unit, Shared",Forced air,Other,"Cats, small dogs",2 spaces,"[{'date': '4/10/2019', 'event': 'Price change', 'price': '$3,000(-9.1%)'}, {'date': '3/25/2019', 'event': 'Price change', 'price': '$3,300(-4.3%)'}, {'date': '2/18/2019', 'event': 'Price change', 'price': '$3,450(+4.5%)'}, {'date': '2/18/2019', 'event': 'Listed for rent', 'price': '$3,300--'}, {'date': '2/3/2018', 'event': 'Listing removed', 'price': '$3,300--'}]"
75206,2126798460,32.812859,-96.765224,"$1,350",House for rent,"5930 La Vista Dr, Dallas, TX 75206",1,1,864,1324,Single Family,In Unit,Forced air,Central,Contact manager,1 space,"[{'date': '2/11/2019', 'event': 'Listed for rent', 'price': '$1,350(+8%)'}, {'date': '2/16/2018', 'event': 'Listing removed', 'price': '$1,250--'}, {'date': '1/27/2018', 'event': 'Price change', 'price': '$1,250(-3.8%)'}, {'date': '1/19/2018', 'event': 'Listed for rent', 'price': '$1,300(+4%)'}, {'date': '2/2/2017', 'event': 'Listing removed', 'price': '$1,250--'}]"
75206,26690419,32.821013,-96.772809,"$20,000",House for rent,"5544 Miller Ave, Dallas, TX 75206",5,45,4200,6464,Single Family,In Unit,Forced air,Other,Contact manager,2 spaces,"[{'date': '6/21/2018', 'event': 'Listed for rent', 'price': '$20,000(+701.6%)'}, {'date': '9/30/2015', 'event': 'Listing removed', 'price': '$2,495--'}, {'date': '7/2/2015', 'event': 'Price change', 'price': '$2,495(+8.7%)'}, {'date': '6/17/2015', 'event': 'Price change', 'price': '$2,295(+15%)'}, {'date': '12/17/2014', 'event': 'Listed for rent', 'price': '$1,995--'}]"
75205,27206268,32.839329,-96.808534,"$3,500",House for rent,"4235 Normandy Ave, Dallas, TX 75205",3,2,1900,,Single Family,In Unit,Forced air,Other,Small dogs,3 spaces,
75205,27204861,32.845914,-96.774094,"$1,900",House for rent,"2804 University Blvd, Dallas, TX 75205",3,1,1306,2700,Single Family,No Data,Forced air,Wall,"Cats, small dogs",Detached Garage,"[{'date': '5/20/2019', 'event': 'Listed for rent', 'price': '$1,900(+5.6%)'}, {'date': '11/17/2016', 'event': 'Listing removed', 'price': '$1,800(-18.2%)'}, {'date': '9/23/2016', 'event': 'Listing removed', 'price': '$2,200--'}, {'date': '5/2/2016', 'event': 'Sold', 'price': '----'}, {'date': '3/17/2016', 'event': 'Pending sale', 'price': '$549,000--'}]"
75205,27206244,32.839306,-96.805074,"$6,875",House for rent,"4115 Normandy Ave, Dallas, TX 75205",4,45,3522,,Single Family,No Data,Forced air,Central,"Cats, small dogs",2 spaces,
75205,27205232,32.845664,-96.809846,"$5,600",House for rent,"4328 University Blvd, Dallas, TX 75205",5,4,3800,7093,Single Family,No Data,Forced air,Central,"Cats, small dogs",4 spaces,"[{'date': '5/9/2019', 'event': 'Listed for rent', 'price': '$5,600--'}, {'date': '8/1/2011', 'event': 'Sold', 'price': '----'}, {'date': '7/9/2011', 'event': 'Listing removed', 'price': '$699,000--'}, {'date': '2/16/2011', 'event': 'Price change', 'price': '$699,000(-4.1%)'}, {'date': '9/11/2010', 'event': 'Price change', 'price': '$729,000(-0.1%)'}]"
75205,2096813327,32.838582,-96.790704,"$2,200",House for rent,"3537 Normandy Ave, Dallas, TX 75205",2,25,1217,,Single Family,No Data,No Data,No Data,Contact manager,No Data,
75205,27201870,32.827306,-96.814779,"$8,100",House for rent,"4541 Arcady Ave, Dallas, TX 75205",4,4,3813,9806,Single Family,No Data,Forced air,Central,"Cats, small dogs",1 space,"[{'date': '5/7/2019', 'event': 'Listed for rent', 'price': '$8,100(-4.7%)'}, {'date': '6/13/2018', 'event': 'Listing removed', 'price': '$8,500--'}, {'date': '5/24/2018', 'event': 'Listed for rent', 'price': '$8,500--'}, {'date': '7/15/2014', 'event': 'Sold', 'price': '$1,132,000(-1.6%)'}, {'date': '6/16/2014', 'event': 'Listing removed', 'price': '$1,150,000--'}]"
75205,27200397,32.850465,-96.806113,"$2,600",House for rent,"4142 Hyer St, Dallas, TX 75205",4,3,2898,4998,Single Family,No Data,Other,Central,"Cats, small dogs",2 spaces,"[{'date': '5/7/2019', 'event': 'Listed for rent', 'price': '$2,600--'}, {'date': '9/5/2018', 'event': 'Listing removed', 'price': '$875,000--'}, {'date': '8/20/2018', 'event': 'Pending sale', 'price': '$875,000--'}, {'date': '8/14/2018', 'event': 'Listed for sale', 'price': '$875,000(-41.7%)'}, {'date': '8/24/2016', 'event': 'Listing removed', 'price': '$1,500,000--'}]"
75205,27202044,32.829033,-96.811609,"$30,000",House for rent,"4428 Lorraine Ave, Dallas, TX 75205",5,55,7145,,Single Family,No Data,Forced air,Central,Contact manager,3 spaces,"[{'date': '5/6/2019', 'event': 'Listed for rent', 'price': '$30,000--'}, {'date': '4/30/2019', 'event': 'Listing removed', 'price': '$5,499,000--'}, {'date': '2/19/2019', 'event': 'Listed for sale', 'price': '$5,499,000--'}, {'date': '11/6/2018', 'event': 'Listing removed', 'price': '$5,499,000--'}, {'date': '4/5/2018', 'event': 'Listed for sale', 'price': '$5,499,000(+178.4%)'}]"
75205,27200945,32.836298,-96.786898,"$3,300",House for rent,"3337 Mockingbird Ln, Dallas, TX 75205",2,2,1628,3200,Single Family,In Unit,Forced air,Other,"Cats, large dogs, small dogs",2 spaces,"[{'date': '5/2/2019', 'event': 'Listed for rent', 'price': '$3,300(+10%)'}, {'date': '4/24/2017', 'event': 'Listing removed', 'price': '$3,000--'}, {'date': '3/21/2017', 'event': 'Listed for rent', 'price': '$3,000(-3.2%)'}, {'date': '7/27/2015', 'event': 'Listing removed', 'price': '$3,100--'}, {'date': '7/3/2015', 'event': 'Listed for rent', 'price': '$3,100(+26.5%)'}]"
75205,26692644,32.820343,-96.794428,"$1,850",House for rent,"3504 Overbrook Dr, Dallas, TX 75205",1,1,1015,3936,Single Family,In Unit,Wall,Central,"Cats, large dogs, small dogs",Off street,"[{'date': '5/3/2019', 'event': 'Price change', 'price': '$1,850(+2.8%)'}, {'date': '5/2/2019', 'event': 'Listed for rent', 'price': '$1,800--'}, {'date': '12/23/2017', 'event': 'Listing removed', 'price': '$1,800--'}, {'date': '11/6/2017', 'event': 'Listed for rent', 'price': '$1,800--'}, {'date': '1/30/2010', 'event': 'Listing removed', 'price': '$650,000--'}]"
75205,2084722760,32.842044,-96.788178,"$1,495",House for rent,"3420 Granada Ave, Dallas, TX 75205",1,1,950,,Single Family,No Data,No Data,No Data,Contact manager,No Data,
75205,27200304,32.841831,-96.792367,"$6,000",House for rent,"3605 Granada Ave, Dallas, TX 75205",3,25,2985,,Single Family,No Data,Forced air,Central,"Cats, small dogs",2 spaces,
75205,27205032,32.839803,-96.804622,"$5,000",House for rent,"6005 Preston Rd, Dallas, TX 75205",4,35,3261,4922,Single Family,In Unit,"Forced air, Heat pump",Central,"Cats, small dogs",2 spaces,"[{'date': '4/16/2019', 'event': 'Listed for rent', 'price': '$5,000(+11.1%)'}, {'date': '10/2/2017', 'event': 'Listing removed', 'price': '$4,500--'}, {'date': '10/2/2017', 'event': 'Listing removed', 'price': '$895,000--'}, {'date': '9/13/2017', 'event': 'Listed for rent', 'price': '$4,500--'}, {'date': '9/7/2017', 'event': 'Price change', 'price': '$895,000--'}]"
75205,2118409551,32.846953,-96.784487,"$2,950",House for rent,"3230 Daniel Ave, Dallas, TX 75205",2,25,1524,,Single Family,No Data,No Data,No Data,Contact manager,No Data,
75205,27206398,32.839891,-96.809094,"$6,400",House for rent,"4308 Normandy Ave, Dallas, TX 75205",4,35,3318,,Single Family,No Data,Forced air,Other,"Cats, small dogs",2 spaces,
75205,27205409,32.839202,-96.794408,"$9,500",House for rent,"3712 Normandy Ave, Dallas, TX 75205",6,7,5784,,Single Family,No Data,Forced air,Central,"Cats, small dogs",2 spaces,
75205,84000196,32.842046,-96.790453,"$6,500",House for rent,"3524 Granada Ave, Dallas, TX 75205",4,45,3626,6421,Single Family,No Data,Forced air,Central,"Cats, small dogs",2 spaces,"[{'date': '4/7/2019', 'event': 'Price change', 'price': '$6,500(+1.6%)'}, {'date': '4/6/2019', 'event': 'Listed for rent', 'price': '$6,400(+1.6%)'}, {'date': '1/18/2018', 'event': 'Listing removed', 'price': '$6,300--'}, {'date': '10/20/2017', 'event': 'Price change', 'price': '$6,300(-7.4%)'}, {'date': '9/6/2017', 'event': 'Listed for rent', 'price': '$6,800(-2.5%)'}]"
