zip,zid,latitude,longitude,cost/rent,status,address,bed,bath,area,zestimate,Type:,Year built:,Heating:,Cooling:,Parking:,Lot:,Price/sqft:,SaleHistory
75206,162813456,32.83113,-96.771893,"$699,500",For sale,"5605 Longview St, Dallas, TX 75206",3,4,2719,,Single Family,2014,Forced air,Central,2 spaces,"3,920 sqft",$257,
75206,26690276,32.822668,-96.763845,"$899,900",For sale,"5946 Vickery Blvd, Dallas, TX 75206",4,3,3155,,Single Family,1935,Forced air,Central,2 spaces,"6,708 sqft",$285,
75206,26690285,32.822269,-96.765152,"$830,000",For sale,"5915 Llano Ave, Dallas, TX 75206",5,4,3734,,Single Family,2006,Forced air,Central,2 spaces,"6,969 sqft",$222,
75206,26690643,32.821596,-96.778609,"$595,000",For sale,"5331 Miller Ave, Dallas, TX 75206",4,4,2171,588839,Single Family,2004,Forced air,Other,4 spaces,"8,015 sqft",$274,"[{'date': '4/25/2019', 'event': 'Listing removed', 'price': '$3,950--'}, {'date': '4/25/2019', 'event': 'Listed for sale', 'price': '$595,000--'}, {'date': '2/21/2019', 'event': 'Listed for rent', 'price': '$3,950--'}, {'date': '2/20/2019', 'event': 'Listing removed', 'price': '$499,999--'}, {'date': '2/19/2019', 'event': 'Pending sale', 'price': '$499,999--'}]"
75206,26695352,32.824776,-96.775936,"$729,000",For sale,"5435 Vanderbilt Ave, Dallas, TX 75206",4,3,2482,735217,Single Family,1924,Forced air,Central,2 spaces,"7,230 sqft",$294,"[{'date': '5/14/2019', 'event': 'Price change', 'price': '$729,000(-4%)'}, {'date': '5/10/2019', 'event': 'Price change', 'price': '$759,000(-2.1%)'}, {'date': '4/24/2019', 'event': 'Listed for sale', 'price': '$775,000(+40.9%)'}, {'date': '4/1/2013', 'event': 'Sold', 'price': '----'}, {'date': '2/26/2013', 'event': 'Listing removed', 'price': '$550,000--'}]"
75206,26690832,32.817951,-96.774244,"$775,000",For sale,"5510 Bonita Ave, Dallas, TX 75206",3,3,2885,,Single Family,2005,Forced air,Central,2 spaces,"7,187 sqft",$269,
75206,26694835,32.828237,-96.769328,"$539,000",For sale,"5719 Mercedes Ave, Dallas, TX 75206",2,2,1550,,Single Family,1946,Forced air,Central,2 spaces,"6,969 sqft",$348,
75206,26689201,32.810347,-96.765798,"$365,000",For sale,"5925 Hudson St, Dallas, TX 75206",,1,1050,,Single Family,1930,Gas,Wall,No Data,"6,141 sqft",$348,
75206,26703569,32.83104,-96.761732,"$549,000",For sale,"6051 Revere Pl, Dallas, TX 75206",3,3,2549,,Single Family,1947,Forced air,Central,2 spaces,"6,534 sqft",$215,
75206,67961874,32.813726,-96.763559,"$450,000",For sale,"6006 Oram St SUITE B, Dallas, TX 75206",3,4,1915,,Single Family,2003,"Forced air, Other",Central,2 spaces,"2,613 sqft",$235,
75206,26694809,32.827275,-96.769819,"$425,000",For sale,"5709 Monticello Ave, Dallas, TX 75206",3,1,1198,,Single Family,1924,Forced air,Central,Detached Garage,"7,230 sqft",$355,
75206,26702970,32.826255,-96.762148,"$910,000",For sale,"6035 Marquita Ave, Dallas, TX 75206",4,4,3639,,Single Family,2007,Forced air,Central,2 spaces,"7,492 sqft",$250,
75206,80239849,32.815204,-96.784183,"$565,000",For sale,"5009 Mission Ave, Dallas, TX 75206",3,3,2188,,Single Family,2005,Forced air,Other,2 spaces,"3,484 sqft",$258,
75206,26690932,32.815604,-96.776287,"$799,000",For sale,"5427 Melrose Ave, Dallas, TX 75206",3,4,2779,,Single Family,2019,Forced air,Central,2 spaces,"3,484 sqft",$288,
75206,26695752,32.828493,-96.774153,"$799,000",For sale,"5511 Mercedes Ave, Dallas, TX 75206",4,4,3349,799532,Single Family,1927,Forced air,Central,1 space,"7,797 sqft",$239,"[{'date': '4/12/2019', 'event': 'Listed for sale', 'price': '$799,000(+14.3%)'}, {'date': '7/21/2013', 'event': 'Listing removed', 'price': '$699,000--'}, {'date': '6/22/2013', 'event': 'Price change', 'price': '$699,000(-2.8%)'}, {'date': '6/3/2013', 'event': 'Price change', 'price': '$719,000(-6.5%)'}, {'date': '5/14/2013', 'event': 'Listed for sale', 'price': '$769,000--'}]"
75206,26703954,32.83344,-96.767373,"$799,000",For sale,"5811 Kenwood Ave, Dallas, TX 75206",4,4,2854,792239,Single Family,2012,Forced air,Central,1 space,"6,969 sqft",$280,"[{'date': '4/24/2019', 'event': 'Price change', 'price': '$799,000(-6%)'}, {'date': '4/12/2019', 'event': 'Listed for sale', 'price': '$850,000(+21.4%)'}, {'date': '7/20/2016', 'event': 'Listing removed', 'price': '$699,900--'}, {'date': '7/13/2016', 'event': 'Listed for sale', 'price': '$699,900--'}]"
75206,26702877,32.827661,-96.763323,"$619,000",For sale,"6006 Mercedes Ave, Dallas, TX 75206",3,2,1827,615816,Single Family,1926,Forced air,Central,1 space,"7,100 sqft",$339,"[{'date': '4/11/2019', 'event': 'Listed for sale', 'price': '$619,000(+25.1%)'}, {'date': '6/12/2015', 'event': 'Sold', 'price': '----'}, {'date': '5/6/2015', 'event': 'Pending sale', 'price': '$495,000--'}, {'date': '5/1/2015', 'event': 'Listed for sale', 'price': '$495,000(+21%)'}, {'date': '7/3/2012', 'event': 'Listing removed', 'price': '$409,000--'}]"
75206,26695570,32.824235,-96.783796,"$589,000",For sale,"5118 Vanderbilt Ave, Dallas, TX 75206",3,2,1952,576831,Single Family,1926,Forced air,Central,2 spaces,"7,230 sqft",$302,"[{'date': '5/4/2019', 'event': 'Price change', 'price': '$589,000(-1%)'}, {'date': '4/11/2019', 'event': 'Listed for sale', 'price': '$595,000(+4.6%)'}, {'date': '4/11/2017', 'event': 'Sold', 'price': '----'}, {'date': '3/10/2017', 'event': 'Pending sale', 'price': '$569,000--'}, {'date': '3/8/2017', 'event': 'Listed for sale', 'price': '$569,000(+1.6%)'}]"
75206,26690151,32.823216,-96.766927,"$750,000",For sale,"5821 Vickery Blvd, Dallas, TX 75206",3,25,2822,,Single Family,2010,Forced air,Central,2 spaces,"8,000 sqft",$266,
75206,83995316,32.834379,-96.772089,"$664,500",For sale,"5600 Anita St, Dallas, TX 75206",4,5,3411,,Single Family,2006,Forced air,Central,2 spaces,"3,615 sqft",$195,
75206,26900006,32.827126,-96.775685,"$939,000",For sale,"5434 Merrimac Ave, Dallas, TX 75206",5,4,3241,,Single Family,1999,Forced air,Central,2 spaces,"7,623 sqft",$290,
75206,26732258,32.838648,-96.767577,"$1,149,000",For sale,"5803 Ravendale Ln, Dallas, TX 75206",5,6,5289,,Single Family,1947,Forced air,Central,6 spaces,"9,191 sqft",$217,
75206,26693526,32.816004,-96.772137,"$629,900",For sale,"5602 Richmond Ave, Dallas, TX 75206",3,2,2206,,Single Family,1926,Forced air,Central,2 spaces,"10,193 sqft",$286,
75206,26704587,32.830179,-96.77885,"$575,000",For sale,"5321 Mccommas Blvd, Dallas, TX 75206",3,2,1596,,Single Family,1937,Forced air,Central,2 spaces,"7,187 sqft",$360,
75206,26690376,32.821613,-96.77083,"$784,000",For sale,"5631 Miller Ave, Dallas, TX 75206",4,3,3123,,Single Family,2004,Forced air,Central,2 spaces,"8,015 sqft",$251,
75206,60331423,32.822282,-96.76997,"$775,000",For sale,"5703 Llano Ave, Dallas, TX 75206",3,21,2995,,Single Family,2001,Forced air,Central,2 spaces,"6,708 sqft",$259,
75206,26702876,32.82766,-96.763156,"$805,000",For sale,"6010 Mercedes Ave, Dallas, TX 75206",4,4,2709,,Single Family,1948,Forced air,Central,2 spaces,"7,100 sqft",$297,
75206,26732230,32.83773,-96.767048,"$409,900",For sale,"5815 Palm Ln, Dallas, TX 75206",2,1,1306,,Single Family,1941,Forced air,Central,4 spaces,"7,100 sqft",$314,
75206,26692170,32.8181,-96.784495,"$835,000",For sale,"5123 Alcott St, Dallas, TX 75206",3,4,2224,,Single Family,2007,Other,Central,2 spaces,"7,623 sqft",$375,
75206,26692113,32.816844,-96.782894,"$575,000",For sale,"5127 Mission Ave, Dallas, TX 75206",3,25,2869,,Single Family,2006,Forced air,Central,2 spaces,"3,484 sqft",$200,
75206,26695469,32.826707,-96.782188,"$598,000",For sale,"5203 Monticello Ave, Dallas, TX 75206",2,2,1739,595629,Single Family,1930,Forced air,Central,On street,"7,230 sqft",$344,"[{'date': '5/7/2019', 'event': 'Price change', 'price': '$598,000(-1.3%)'}, {'date': '5/3/2019', 'event': 'Price change', 'price': '$606,000(-1.1%)'}, {'date': '4/25/2019', 'event': 'Price change', 'price': '$613,000(-1%)'}, {'date': '3/29/2019', 'event': 'Listed for sale', 'price': '$619,000(+3.8%)'}, {'date': '9/15/2017', 'event': 'Sold', 'price': '$596,500(-0.4%)'}]"
75206,26695530,32.824762,-96.780907,"$599,900",For sale,"5233 Vanderbilt Ave, Dallas, TX 75206",3,3,2304,590723,Single Family,1926,Forced air,Central,No Data,"7,100 sqft",$260,"[{'date': '4/17/2019', 'event': 'Price change', 'price': '$599,900(-3.2%)'}, {'date': '3/28/2019', 'event': 'Listed for sale', 'price': '$619,900(+42.5%)'}, {'date': '10/1/2013', 'event': 'Listing removed', 'price': '$434,900--'}, {'date': '7/3/2013', 'event': 'Price change', 'price': '$434,900(-3.3%)'}, {'date': '5/25/2013', 'event': 'Listed for sale', 'price': '$449,900(+34.3%)'}]"
75206,26694793,32.826317,-96.768508,"$659,000",For sale,"5739 Marquita Ave, Dallas, TX 75206",4,3,2372,660096,Single Family,1922,Forced air,Central,2 spaces,"7,100 sqft",$278,"[{'date': '5/16/2019', 'event': 'Price change', 'price': '$659,000(-2.4%)'}, {'date': '3/28/2019', 'event': 'Listed for sale', 'price': '$675,000(+45.2%)'}, {'date': '3/12/2015', 'event': 'Sold', 'price': '----'}, {'date': '2/26/2015', 'event': 'Listing removed', 'price': '$465,000--'}, {'date': '2/4/2015', 'event': 'Listed for sale', 'price': '$465,000--'}]"
75206,26703679,32.834325,-96.761705,"$468,000",For sale,"6059 Ellsworth Ave, Dallas, TX 75206",3,2,1743,470777,Single Family,1941,Forced air,Central,4 spaces,"6,708 sqft",$269,"[{'date': '4/12/2019', 'event': 'Pending sale', 'price': '$468,000--'}, {'date': '3/28/2019', 'event': 'Price change', 'price': '$468,000(+6.6%)'}, {'date': '3/28/2019', 'event': 'Listed for sale', 'price': '$439,000(+42.1%)'}, {'date': '9/25/2012', 'event': 'Listing removed', 'price': '$309,000--'}, {'date': '7/28/2012', 'event': 'Listed for sale', 'price': '$309,000(-0.2%)'}]"
75206,26690044,32.815116,-96.763223,"$379,000",For sale,"6011 Prospect Ave, Dallas, TX 75206",4,4,3793,,Single Family,2019,Forced air,Central,Attached Garage,"8,755 sqft",$100,
